GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mastermind-game,default,MasterMindUI.Circle,57,0,0,0,18,0,5,0,5,0
mastermind-game,default,MasterMindLogic.Result,0,9,0,0,0,4,0,1,0,1
mastermind-game,default,MasterMindUI,556,0,30,0,123,0,27,0,12,0
mastermind-game,default,MasterMindLogic,0,206,2,14,0,39,2,11,0,5
mastermind-game,default,Main,114,0,0,0,10,0,3,0,3,0
